Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR01005	Hayange	périurbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57306	 HAYANGE 	15888	 THIONVILLE 	134104	agglomération	49,324722	6,076108		industrielle										
FR01011	Metz-Centre	urbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57463	 METZ 	116581	 METZ 	285930	agglomération	49,119442	6,180833	fond	fond	fond		fond							
FR01012	Metz-Borny	urbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57463	 METZ 	116581	 METZ 	285930	agglomération	49,110283	6,223336	fond	fond										
FR01014	Pont-à-Mousson	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	54431	 PONT-À-MOUSSON 	14434	 PONT-À-MOUSSON 	23824	agglomération	48,915	6,058336		fond										
FR01015	Blénod-lès-PAM	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	54079	 BLÉNOD-LÈS-PONT-À-MOUSSON 	4613	 PONT-À-MOUSSON 	23824	agglomération	48,884724	6,051392		industrielle										
FR01016	Atton	rurale près des villes	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	54027	ATTON	852	COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 54	169508	rurale	48,886387	6,093611	industrielle											
FR01018	Scy-Chazelles	périurbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57642	SCY-CHAZELLES	2675	METZ	285930	agglomération	49,107502	6,122775	fond				fond							
FR01019	Thionville-Piscine	urbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57672	THIONVILLE	40477	THIONVILLE	134104	agglomération	49,36861	6,160831	fond	fond										
FR01020	Thionville-Centre	urbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57672	THIONVILLE	40477	THIONVILLE	134104	agglomération	49,358337	6,156942	fond	fond	fond		fond							
FR01021	Thionville-Garche	périurbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57672	 THIONVILLE 	40477	 THIONVILLE 	134104	agglomération	49,394444	6,201392					fond							
FR01059	HAYANGE-MARSPICH	périurbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57306	 HAYANGE 	15888	 THIONVILLE 	134104	agglomération	49,3374	6,08207		industrielle										
FR01060	Malroy	rurale près des villes	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	57438	 MALROY 	351	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 57 	259517	rurale	49,16885	6,212669				fond								
FR01061	Florange_Bétange_HAP	périurbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57221	 FLORANGE 	11864	 THIONVILLE 	134104	agglomération	49,3331	6,1147									industrielle			
FR01063	Serémange-Erzange	périurbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57647	 SERÉMANGE-ERZANGE 	4218	 THIONVILLE 	134104	agglomération	49,321334	6,103931						industrielle						
FR01064	Metz- Pont Grilles	urbaine	ATMO GRAND EST	FR44ZAG02	ZAG METZ	ZAG	GRAND EST	57463	 METZ 	116581	 METZ 	285930	agglomération	49,12508	6,181219	trafic	trafic										
FR01065	Belleville sur Meuse	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	55043	 BELLEVILLE-SUR-MEUSE 	3066	 VERDUN 	23386	agglomération	49,16778	5,387461	trafic		trafic									
FR02001	Berre l'Etang	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13014	 BERRE-L'ÉTANG 	13520	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,486234	5,171939					fond	industrielle						
FR02004	Martigues P. Central	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13056	 MARTIGUES 	48420	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,416661	5,042731				industrielle	fond							
FR02006	Martigues Laurons	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13056	 MARTIGUES 	48420	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,358982	5,023388				industrielle								
FR02007	Martigues La Gatasse	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13056	 MARTIGUES 	48420	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,360692	5,058139				industrielle								
FR02008	Port de Bouc Leque	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13077	 PORT-DE-BOUC 	16569	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,401952	4,981919		industrielle	industrielle	industrielle				industrielle	industrielle	industrielle	industrielle	industrielle
FR02009	Port Saint Louis	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13078	 PORT-SAINT-LOUIS-DU-RHÔNE 	8423	 PORT-SAINT-LOUIS-DU-RHÔNE 	8423	agglomération	43,39378	4,801024		industrielle		industrielle								
FR02011	Fos sur Mer	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13039	 FOS-SUR-MER 	15602	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,437858	4,945116				industrielle								
FR02012	Istres	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13047	 ISTRES 	43411	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,506149	4,982898					fond							
FR02013	Fos Les Carabins	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13039	 FOS-SUR-MER 	15602	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,458927	4,934572			industrielle	industrielle				fond	fond	fond	fond	fond
FR02020	Rognac les Brets	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13081	 ROGNAC 	12080	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,510802	5,220046			industrielle									
FR02021	Sausset les Pins	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13104	 SAUSSET-LES-PINS 	7640	 SAUSSET-LES-PINS-CARRY-LE-ROUET 	13396	agglomération	43,331245	5,117696				industrielle	fond							
FR02022	Arles	urbaine	ATMO SUD	FR93ZRE01	ZR PROVENCE-ALPES-COTE D’AZUR	ZRE	PROVENCE-ALPES-COTE D'AZUR	13004	 ARLES 	51031	 ARLES 	53874	agglomération	43,675114	4,62921	fond	fond	fond		fond							
FR02028	Martigues Lavera	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13056	 MARTIGUES 	48420	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,386564	5,026868				industrielle		industrielle						
FR02029	Chateauneuf La Mede	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13026	 CHÂTEAUNEUF-LES-MARTIGUES 	17425	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,399546	5,113214		industrielle		industrielle								
FR02041	SALON	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13103	 SALON-DE-PROVENCE 	45400	 SALON-DE-PROVENCE 	61760	agglomération	43,639002	5,101097	fond	fond	fond		fond							
FR02043	Marignane	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13054	 MARIGNANE 	32793	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,4165306	5,222281	fond	fond	fond	fond			fond					
FR03006	MARSEILLE RABATAU	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13208	 MARSEILLE 8E ARRONDISSEMENT 	81276	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,276451	5,39736	trafic	trafic	trafic			trafic			trafic			
FR03014	MARSEILLE ST LOUIS	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13215	 MARSEILLE 15E ARRONDISSEMENT 	76610	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,348048	5,360119	fond	fond	fond									
FR03021	AIX ROY RENE	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13001	 AIX-EN-PROVENCE 	143097	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,524075	5,448164	trafic	trafic										
FR03027	PLAN AUPS/STE  BAUME	rurale près des villes	ATMO SUD	FR93ZRE01	ZR PROVENCE-ALPES-COTE D’AZUR	ZRE	PROVENCE-ALPES-COTE D'AZUR	83093	 PLAN-D'AUPS-SAINTE-BAUME 	2174	 PLAN-D''AUPS-SAINTE-BAUME 	2174	agglomération	43,335201	5,727365					fond							
FR03029	AIX CENTRE ECOLE ART	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13001	 AIX-EN-PROVENCE 	143097	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,530285	5,440912	fond	fond	fond									
FR03030	GARDANNE	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13041	 GARDANNE 	21376	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,453584	5,466672		industrielle	industrielle									
FR03032	AUBAGNE LES PASSONS	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13005	 AUBAGNE 	47208	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,293138	5,574184	fond				fond							
FR03037	VALLEE HUVEAUNE	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13070	 LA PENNE-SUR-HUVEAUNE 	6446	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,283341	5,511384					fond	industrielle						
FR03043	MARSEILLE 5 AVENUES	urbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13204	 MARSEILLE 4E ARRONDISSEMENT 	49281	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,305287	5,394716	fond	fond	fond	fond	fond	fond		fond	fond	fond	fond	fond
FR03048	AIX PLATANES	périurbaine	ATMO SUD	FR93ZAG01	ZAG MARSEILLE-AIX	ZAG	PROVENCE-ALPES-COTE D'AZUR	13001	 AIX-EN-PROVENCE 	143097	 MARSEILLE-AIX-EN-PROVENCE 	1607292	agglomération	43,555777	5,461232					fond							
FR03060	LA SEYNE GENOUD	urbaine	ATMO SUD	FR93ZAG03	ZAG TOULON	ZAG	PROVENCE-ALPES-COTE D'AZUR	83126	 LA SEYNE-SUR-MER 	62888	 TOULON 	580281	agglomération	43,101565	5,875404	fond											
FR03067	BRIGNOLES	périurbaine	ATMO SUD	FR93ZRE01	ZR PROVENCE-ALPES-COTE D’AZUR	ZRE	PROVENCE-ALPES-COTE D'AZUR	83023	 BRIGNOLES 	17364	 BRIGNOLES 	23133	agglomération	43,398731	6,075611		fond			fond							
FR03068	TOULON FOCH	urbaine	ATMO SUD	FR93ZAG03	ZAG TOULON	ZAG	PROVENCE-ALPES-COTE D'AZUR	83137	 TOULON 	176198	 TOULON 	580281	agglomération	43,126821	5,921605	trafic	trafic										
FR03069	HYERES	urbaine	ATMO SUD	FR93ZAG03	ZAG TOULON	ZAG	PROVENCE-ALPES-COTE D'AZUR	83069	 HYÈRES 	55069	 TOULON 	580281	agglomération	43,119737	6,131319		fond			fond							
FR03070	ESTEREL	périurbaine	ATMO SUD	FR93ZAR01	ZAR FREJUS-DRAGUIGNAN	ZAR	PROVENCE-ALPES-COTE D'AZUR	83061	 FRÉJUS 	53786	 FRÉJUS 	97483	agglomération	43,437874	6,76839	fond	fond	fond		fond							
FR03071	TOULON CLARET	urbaine	ATMO SUD	FR93ZAG03	ZAG TOULON	ZAG	PROVENCE-ALPES-COTE D'AZUR	83137	 TOULON 	176198	 TOULON 	580281	agglomération	43,131113	5,924184	fond	fond	fond		fond							
FR03080	AVIGNON   MAIRIE	urbaine	ATMO SUD	FR93ZAG04	ZAG AVIGNON	ZAG	PROVENCE-ALPES-COTE D'AZUR	84007	 AVIGNON 	91729	 AVIGNON 	456651	agglomération	43,949673	4,804341	fond	fond	fond		fond							
FR03084	LE PONTET	périurbaine	ATMO SUD	FR93ZAG04	ZAG AVIGNON	ZAG	PROVENCE-ALPES-COTE D'AZUR	84092	 LE PONTET 	17273	 AVIGNON 	456651	agglomération	43,960144	4,856731	fond		fond									
FR03086	APT	périurbaine	ATMO SUD	FR93ZRE01	ZR PROVENCE-ALPES-COTE D’AZUR	ZRE	PROVENCE-ALPES-COTE D'AZUR	84003	 APT 	11011	 APT 	15027	agglomération	43,88012	5,362038					fond							
FR03087	Avignon Semard	urbaine	ATMO SUD	FR93ZAG04	ZAG AVIGNON	ZAG	PROVENCE-ALPES-COTE D'AZUR	84007	 AVIGNON 	91729	 AVIGNON 	456651	agglomération	43,93706	4,824909	trafic	trafic										
FR03088	CARPENTRAS	périurbaine	ATMO SUD	FR93ZAG04	ZAG AVIGNON	ZAG	PROVENCE-ALPES-COTE D'AZUR	84031	 CARPENTRAS 	28798	 AVIGNON 	456651	agglomération	44,060347	5,067413					fond							
FR04002	GENNEVILLIERS	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	92036	 GENNEVILLIERS 	47702	 PARIS 	10816803	agglomération	48,92972	2,294722	fond	fond	fond			fond						
FR04004	PARIS 18eme	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	75118	 PARIS 18E ARRONDISSEMENT 	193665	 PARIS 	10816803	agglomération	48,891666	2,346667	fond	fond			fond			fond		fond	fond	fond
FR04012	Place Victor Basch	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	75114	 PARIS 14E ARRONDISSEMENT 	136596	 PARIS 	10816803	agglomération	48,827778	2,3275	trafic	trafic				trafic	trafic					
FR04014	PARIS 12eme	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	75112	 PARIS 12E ARRONDISSEMENT 	139665	 PARIS 	10816803	agglomération	48,837223	2,3939	fond											
FR04017	NEUILLY-SUR-SEINE	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	92051	 NEUILLY-SUR-SEINE 	59940	 PARIS 	10816803	agglomération	48,88139	2,278056	fond			fond	fond							
FR04018	AUBERVILLIERS	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	93001	 AUBERVILLIERS 	87572	 PARIS 	10816803	agglomération	48,9039	2,3847	fond			fond			fond					
FR04023	CERGY-PONTOISE	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	95127	 CERGY 	66322	 PARIS 	10816803	agglomération	49,04639	2,043056		fond			fond							
FR04024	GONESSE	périurbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	95277	 GONESSE 	26019	 PARIS 	10816803	agglomération	48,99083	2,444722	fond		fond									
FR04029	VERSAILLES	périurbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	78646	 VERSAILLES 	85205	 PARIS 	10816803	agglomération	48,799168	2,130556	fond				fond							
FR04031	Av Champs Elysees	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	75108	 PARIS 8E ARRONDISSEMENT 	36222	 PARIS 	10816803	agglomération	48,86889	2,311944	trafic	trafic										
FR04034	VITRY-SUR-SEINE	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	94081	 VITRY-SUR-SEINE 	94649	 PARIS 	10816803	agglomération	48,7758	2,3758	fond	fond	fond	fond	fond	fond						
FR04037	PARIS 13eme	urbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	75113	 PARIS 13E ARRONDISSEMENT 	180632	 PARIS 	10816803	agglomération	48,82861	2,360278	fond				fond							
FR04038	Zone Rurale SO	rurale régionale	AIRPARIF	FR11ZRE01	ZR ILE-DE-FRANCE	ZRE	ILE-DE-FRANCE	78601	 SONCHAMP 	1619	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 78 	100328	rurale	48,581944	1,883333	fond				fond							
FR04048	Zone Rurale Nord	rurale régionale	AIRPARIF	FR11ZRE01	ZR ILE-DE-FRANCE	ZRE	ILE-DE-FRANCE	95566	 SAINT-MARTIN-DU-TERTRE 	2737	 SAINT-MARTIN-DU-TERTRE 	2737	agglomération	49,100277	2,343889			fond		fond							
FR04049	LES ULIS	périurbaine	AIRPARIF	FR11ZAG01	ZAG PARIS	ZAG	ILE-DE-FRANCE	91692	 LES ULIS 	24764	 PARIS 	10816803	agglomération	48,679443	2,165556					fond							
